KATEGORIA,TREŚĆ PYTANIA,PIERWSZA,DRUGA,TRZECIA,CZWARTA,NAZWISKO AUTORA PYTANIA,IMIĘ AUTORA PYTANIA,,,,,,,,,,,,,,,,,,,CZWARTA ODPOWIEDŹ (NIEPRAWIDŁOWA)
5000,Do ciężkiej atletyki zaliczamy:,zapasy,rzut młotem,skok o tyczce,dziesięciobój atletyczny,Bogunia,Kacper,,,,,,,,,,,,,,,,,,,dziesięciobój atletyczny
50000,Wzrost hałasu o ile dB będzie odczuwalny przez człowieka jak dwukrotny wzrost głośności?,3 dB,10 db,16 dB,20 dB,Herman,Andrzej,,,,,,,,,,,,,,,,,,,20 dB
10000,Jak nazywa się najstarsze znane urządzenie do zapisu dźwięku?,fonautograf,gramofon,patefon,fonograf,Herman,Andrzej,,,,,,,,,,,,,,,,,,,fonograf
10000,"Ile szczytów górskich o wysokości ponad ośmiu tysięcy metrów, wznosi się w Himalajach?",dziesięć,siedem,pięć,jedenaście,Bogunia,Kacper,,,,,,,,,,,,,,,,,,,jedenaście
50000,Którego kraju hymnem państwowym jest pieśń 'Gwiaździsty Sztandar'?,Stanów Zjednoczonych,Izraela,Nowej Zelandii,Argentyny,Herman,Andrzej,,,,,,,,,,,,,,,,,,,Argentyny
5000,Akuszerka to:,kobieta zajmująca się przyjmowaniem porodów,służąca,pokojówka,kobieta bezdzietna,Herman,Andrzej,,,,,,,,,,,,,,,,,,,kobieta bezdzietna
5000,Człowiek na siłę szukający w sobie choroby to:,hipochondryk,meteopata,pesymista,konformista,Herman,Andrzej,,,,,,,,,,,,,,,,,,,konformista
50000,"Kto był trenerem reprezentacji Polski, która w 1992 roku zdobyła srebrny medal olimpijski w Barcelonie?",Janusz Wójcik,Antoni Piechniczek,Andrzej Strejlau,Jerzy Engel,Bogunia,Kacper,,,,,,,,,,,,,,,,,,,Jerzy Engel
5000,Głównym składnikiem popularnej 'Aspiryny' jest:,kwas acetylosalicylowy,kwas azotowy,kwas bromowodorowy,kwas fosforowy,Herman,Andrzej,,,,,,,,,,,,,,,,,,,kwas fosforowy
1000,"Odrażający drab z Kabaretu Starszych Panów dubeltówkę weźmie, wyjdzie i...:","buch, buch!",z rur dwóch,rach-ciach!,bum w brzuch,Kupś,Artur,,,,,,,,,,,,,,,,,,,bum w brzuch
100,W czyim domu nie mówi się o sznurze?,powieszonego,praczki,linoskoczka,powroźnika,Kupś,Artur,,,,,,,,,,,,,,,,,,,powroźnika
100,Naczynie z sitkiem to:,konewka,łyżka cedzakowa,maszynka do mięsa,prysznic,Kupś,Artur,,,,,,,,,,,,,,,,,,,prysznic
5000,Ile gatunków trufli występuje w Polsce?,dziewięć,pięć,trufle nie występują w Polsce,jeden,Herman,Andrzej,,,,,,,,,,,,,,,,,,,jeden
5000,Ile wynosi obecnie rekord świata w skoku wzwyż mężczyzn?,"2,45 m","2,38 m","2,40 m","2,27 m",Herman,Andrzej,,,,,,,,,,,,,,,,,,,"2,27 m"
5000,Suspens to chwyt stosowany:,w filmach,we wspinaczce klasycznej,w grze na gitarze,w zapasach,Kupś,Artur,,,,,,,,,,,,,,,,,,,w zapasach
500,"Dokończ cytat: 'Opowiem ci bajkę, jak kot palił fajkę, a kocica papierosa...'",...upaliła kawał nosa,"...w fifce, byle dalej nosa",...kocięta zaś skręta,...te koty zeszły z drogi cnoty,Kupś,Artur,,,,,,,,,,,,,,,,,,,...te koty zeszły z drogi cnoty
5000,Co to są 'juniorki'?,za czasów PRL określenie szkolnego obuwia,batony czekoladowe,członkinie jury w łyżwiarstwie figurowym,chipsy dla dzieci,Herman,Andrzej,,,,,,,,,,,,,,,,,,,chipsy dla dzieci
500,"Największa powódź w Polsce po II wojnie światowej, miała miejsce w 1997 roku:",we Wrocławiu i okolicach,pod Krakowem,w okolicach Szczecina,we Włocławku,Herman,Andrzej,,,,,,,,,,,,,,,,,,,we Włocławku
200,"Cyfra 4 w systemie dziesiętnym, to w systemie binarnym:",100,110,101,111,Herman,Andrzej,,,,,,,,,,,,,,,,,,,111
1000,Kolor żółty w zapisie szesnastkowym palety barw RGB to:,#FFFF00,#FFFFFF,#FF0000,#EFEFEF,Herman,Andrzej,,,,,,,,,,,,,,,,,,,#EFEFEF
500,Siedzibą Parlamentu Europejskiego jest:,"Strasburg, Francja","Bruksela, Belgia","Lozanna, Szwajcaria","Wiedeń, Austria",Herman,Andrzej,,,,,,,,,,,,,,,,,,,"Wiedeń, Austria"
1000,"Liczba 32-bitowa, pozwalająca na identyfikację urządzenia w sieci oraz adresowanie danych, to:",adres IP,host,DNS,DHCP,Herman,Andrzej,,,,,,,,,,,,,,,,,,,DHCP
500,Kraj o najwyższej oczekiwanej długości życia to?,Chiny,Stany Zjednoczone,Indie,Brazylia,Perapich,Valery,,,,,,,,,,,,,,,,,,,Brazylia
200,Jak nazywał się pierwszy amerykański statek kosmiczny wykorzystany w lotach na Księżyc?,Apollo,Herald,Asterix,Kapitol,Perapich,Valery,,,,,,,,,,,,,,,,,,,Kapitol
100,W jakich jednostkach mierzy się rozdzielczość monitorów?,w pikselach,w megapikselach,w megabajtach,w nanometrach,Perapich,Valery,,,,,,,,,,,,,,,,,,,w nanometrach
1000,Jakiej części ciała brakuje rekinowi?,pęcherza pływackiego,wątroby,żołądka,nerek,Perapich,Valery,,,,,,,,,,,,,,,,,,,nerek
5000,Co to jest Izmir?,miasto w Turcji,minerał górski,pierwiastek chemiczny,metal szlachetny,Perapich,Valery,,,,,,,,,,,,,,,,,,,metal szlachetny
50000,Który ze starożytnych filozofów mieszkał w beczce?,Diogenes,Sokrates,Płaton,Arystoteles,Perapich,Valery,,,,,,,,,,,,,,,,,,,Arystoteles
500,Jak nazywa się dwumiejscowy rower?,tandem,pandan,duet,dual,Perapich,Valery,,,,,,,,,,,,,,,,,,,dual
50000,Alfred Southwick - wynalazca krzesła elektrycznego z zawodu był?,dentystą,elektrykiem,spawaczem,chirurgiem,Perapich,Valery,,,,,,,,,,,,,,,,,,,chirurgiem
100,Miejsce w którym odpoczywają wilki to?,legowisko,pieczara,nora,podziemie,Perapich,Valery,,,,,,,,,,,,,,,,,,,podziemie
100,Nietoperz to:,ssak,ptak,gad,płaz,Karbowiak,Dawid,,,,,,,,,,,,,,,,,,,płaz
100,Które zwierzę jest kręgowcem?,jaszczurka,ośmiornica,pająk,ważka,Karbowiak,Dawid,,,,,,,,,,,,,,,,,,,ważka
100,Do ochrony komputera przed wirusami używamy?,programu antywirusowego,drukarki,myszki,skanera,Karbowiak,Dawid,,,,,,,,,,,,,,,,,,,skanera
100,Stolicą Czech jest:,Praga,Ostrava,Brno,Liberec,Karbowiak,Dawid,,,,,,,,,,,,,,,,,,,Liberec
200,Co w matematyce oznaczamy symbolem h?,wysokość,długość boku,przekątną,delte,Karbowiak,Dawid,,,,,,,,,,,,,,,,,,,delte
200,Która aplikacja jest programem do obróbki plików graficznych?,CorelDraw,Notepad ++,Microsoft Word,OpenOffice,Karbowiak,Dawid,,,,,,,,,,,,,,,,,,,OpenOffice
500,Stolicą Stanów Zjednoczonych Ameryki jest:,Waszyngton,Los Angeles,Chicago,Nowy York,Karbowiak,Dawid,,,,,,,,,,,,,,,,,,,Nowy York
500,Jednostka centralna komputera to?,procesor,karta graficzna,karta sieciowa,klawiatura,Karbowiak,Dawid,,,,,,,,,,,,,,,,,,,klawiatura
1000,Strony internetowe są wyświetlane w języku?,HTML,Python,C++,Java,Karbowiak,Dawid,,,,,,,,,,,,,,,,,,,Java
1000,Ile ścian ma granastosłup pięciokątny?,7,2,6,10,Karbowiak,Dawid,,,,,,,,,,,,,,,,,,,10
10000,W którym roku powstała sieć ARPANET - protoplasta dzisiejszego Internetu?,1969,1979,1940,2000,Karbowiak,Dawid,,,,,,,,,,,,,,,,,,,2000
50000,Wynalazcą pierwszego samochodu był:,Carl Benz,Alexander Winton,Milton Reeves,Pierre-Joseph Ravel,Karbowiak,Dawid,,,,,,,,,,,,,,,,,,,Pierre-Joseph Ravel
200,Plik tekstowy w komputerze ma rozszerzenie?,txt,zip,exe,rar,Perapich,Valery,,,,,,,,,,,,,,,,,,,rar
1000,Według definicji - baza danych to:,"model, w którym dane są przechowywane w uporządkowany sposób",program do zbierania informacji,tabela z danymi w pliku Worda,tabela z informacjami w porządku alfabetycznym,Perapich,Valery,,,,,,,,,,,,,,,,,,,tabela z informacjami w porządku alfabetycznym
1000,W jakim kraju znajduje się najwyższy wodospad w Europie?,w Norwegii,w Szwecji,w Finlandii,na Islandii,Konotopski,Oleksandr,,,,,,,,,,,,,,,,,,,na Islandii 
1000,Kim był Arystoteles?,filozofem,inżynierem,artystą,chemikiem,Konotopski,Oleksandr,,,,,,,,,,,,,,,,,,,chemikiem
1000,W którym mieście odbyły się Igrzyska Olimpijskie w 2000 r?,Sydney,Ateny,Vancouver,Madryt,Konotopski,Oleksandr,,,,,,,,,,,,,,,,,,,Madryt
5000,Jakie dwa zwierzęta tworzą herb Australii?,kangur i emu,wombat i wallaby,wąż i pająk,słoń i małpa,Konotopski,Oleksandr,,,,,,,,,,,,,,,,,,,słoń i małpa
100,Symbolem którego pierwiastka chemicznego jest 'Fe'?,żelaza,miedzi,cynku,wodoru,Konotopski,Oleksandr,,,,,,,,,,,,,,,,,,,wodoru
50000,Ile serc ma ośmiornica?,3,2,1,4,Konotopski,Oleksandr,,,,,,,,,,,,,,,,,,,4
1000,Która z planet Układu Słonecznego jest największa?,Jowisz,Saturn,Mars,Uran,Konotopski,Oleksandr,,,,,,,,,,,,,,,,,,,Uran
1000,"Kto był pierwszą osobą, która odbyła podróż w kosmos w 1961 roku?",Jurij Gagarin,Jurij Głaskow,Jurij Małyszew,Jurij Romanenko,Konotopski,Oleksandr,,,,,,,,,,,,,,,,,,,Jurij Romanenko
1000,Który z tych słynnych kompozytorów od połowy życia był całkowicie głuchy?,Ludwig van Beethoven,Wolfgang Amadeus Mozart,Johann Sebastian Bach,Georg Friedrich Händel,Konotopski,Oleksandr,,,,,,,,,,,,,,,,,,,Georg Friedrich Händel
10000,Flaga jakiego kraju jako jedyna na świecie nie jest czworokątem?,Nepalu,Albaniii,Uzbekistanu,Indii,Konotopski,Oleksandr,,,,,,,,,,,,,,,,,,,Indii
500,Kto był jednym z założycieli firmy Microsoft?,Bill Gates,Paweł Durow,Larry Page,Travis Kalanick,Konotopski,Oleksandr,,,,,,,,,,,,,,,,,,,Travis Kalanick
200,Ile jest stref czasowych na świecie?,24,32,7,14,Konotopski,Oleksandr,,,,,,,,,,,,,,,,,,,14
1000,Kto nadał nazwę Oceanowi Spokojnemu?,Ferdynand Magellan,Vasco da Gama,Krzysztof Kolumb,Amerigo Vespucci,Konotopski,Oleksandr,,,,,,,,,,,,,,,,,,,Amerigo Vespucci
1000,Jakie zwierzę widnieje na logo firmy Porsche?,koń,tygrys,byk,jeleń,Konotopski,Oleksandr,,,,,,,,,,,,,,,,,,,jeleń
1000,Jakie amerykańskie miasto jest siedzibą firmy Apple?,Cupertino,New York,San Francisco,Silicon Valley,Herman,Andrzej,,,,,,,,,,,,,,,,,,,Silicon Valley
5000,"Język używany do tworzenia, modyfikowania relacyjnych baz danych i pobierania danych to:",SQL,XML,JSON,PHP,Herman,Andrzej,,,,,,,,,,,,,,,,,,,PHP
50000,Językiem programowania nie jest:,List,Brainfuck,Clipper,Haskell,Herman,Andrzej,,,,,,,,,,,,,,,,,,,Haskell
100,"Która z marek, oprócz samochodów, produkuje też młynki do pieprzu i rowery?",Peugeot,Dacia,Mazda,Ford,Spikowska,Kinga,,,,,,,,,,,,,,,,,,,Ford
200,Ilu zawodników liczy drużyna water polo?,7,6,8,5,Spikowska,Kinga,,,,,,,,,,,,,,,,,,,5
500,Ile gwiazd znajduje się na fladze Unii Europejskiej,12,24,14,26,Spikowska,Kinga,,,,,,,,,,,,,,,,,,,26
1000,Najbardziej dochodowy film w historii kina to:,Avatar,Titanic,Avengers: Koniec Gry,Gwiezdne Wojny,Spikowska,Kinga,,,,,,,,,,,,,,,,,,,Gwiezdne Wojny
5000,Najstarsza marka samochodowa na świecie to:,Peugeot,Opel,Mercedes-Benz,Fiat,Spikowska,Kinga,,,,,,,,,,,,,,,,,,,Fiat
10000,Jaka jest dokładna odległość Księżyca od Ziemi?,384 400 km,385 100 km,214 005 km,402 254 km,Herman,Andrzej,,,,,,,,,,,,,,,,,,,402 254 km
50000,Jakie miasto było pierwowzorem Bullerbyn w słynnej książce Astrid Lindgren 'Dzieci z Bullerbyn'?,Sevedstorp,Kristiansand,Östersund,Enviken,Herman,Andrzej,,,,,,,,,,,,,,,,,,,Enviken
100,Jaki jest wynik działania: 2 + 2 * 2 ?,6,2,8,4,Herman,Andrzej,,,,,,,,,,,,,,,,,,,4
200,12 groszy' to tytuł utworu:,Kazika,Lady Pank,Maty,Perfectu,Herman,Andrzej,,,,,,,,,,,,,,,,,,,Perfectu
500,Która firma zakupiła w 2018 roku serwis GitHub?,Microsoft,Apple,Google,PayPal,Herman,Andrzej,,,,,,,,,,,,,,,,,,,PayPal
1000,"W którym roku zakończyła się produkcja Fiata 126p, słynnego malucha?",2000,1997,2002,1990,Spikowska,Kinga,,,,,,,,,,,,,,,,,,,1990
5000,Najdłużej panującym monarchą na świecie był lub była:,Ludwik XIV,Elżbieta II,Jerzy IV,Karol III,Spikowska,Kinga,,,,,,,,,,,,,,,,,,,Karol III
10000,Jakie papierosy palił Franz Maurer w filmie Władysława Pasikowskiego 'Psy'?,Camele,Marlboro,Klubowe,Extra Mocne,Herman,Andrzej,,,,,,,,,,,,,,,,,,,Extra Mocne
50000,Ile osób przeżyło katastrofę liniowca 'Titanic' 15 kwietnia 1912 r?,około 730,około 910,około 520,około 1200,Herman,Andrzej,,,,,,,,,,,,,,,,,,,około 1200
200,Ile lat do tej pory miała najstarsza partnerka Leonardo DiCaprio?,25,34,40,30,Gacka,Milena,,,,,,,,,,,,,,,,,,,30
500,Jak nazywał się statek Hana Solo?,Sokół Millenium,Gwiazda Śmierci,Perła,Supernova,Gacka,Milena,,,,,,,,,,,,,,,,,,,Supernova
1000,Która z wymienionych animacji nie jest dziełem Bartosza Walaszka?,Kuce z bronksu,Egzorcysta,Kpitan Bomba,Koń Rafał,Gacka,Milena,,,,,,,,,,,,,,,,,,,Koń Rafał
5000,Z którego roku jest film 'Ptaki' Alfreda Hitchcocka?,1963,1990,2002,2010,Gacka,Milena,,,,,,,,,,,,,,,,,,,2010
10000,"Jak mówiono na Irmę Grese, członkinię SS?",Piękna Bestia,Złota Bestia,Pani Śmierć,Prawa ręka diabła,Gacka,Milena,,,,,,,,,,,,,,,,,,,Prawa ręka diabła
50000,Jakie jest prawdziwe imię i nazwisko Marilyna Mansona?,Brian Hugh Warner,Brian Wood,Tom Bianco,Ozzy Monroe,Gacka,Milena,,,,,,,,,,,,,,,,,,,Ozzy Monroe
200,Jaka jest wartość liczby Pi?,"3,14","3,41","1,41","4,13",Grobela,Dawid,,,,,,,,,,,,,,,,,,,"4,13"
500,Ile razy mistrzem świata Formuły 1 był niemiecki kierowca Sebastian Vettel?,4,5,2,3,Jasiński,Łukasz,,,,,,,,,,,,,,,,,,,3
1000,W jakim zespole Formuły 1 nie jeździł Robert Kubica?,Scuderia Toro Roso,Wiliams,BMW Sauber,Renault,Jasiński,Łukasz,,,,,,,,,,,,,,,,,,,Renault
1000,W barwach jakiego zespołu Formuły 1 swoje pierwsze mistrzostwo świata zdobył Lewis Hamilton?,McLaren,Ferrari,Renault,Wiliams,Jasiński,Łukasz,,,,,,,,,,,,,,,,,,,Wiliams
500,W którym roku rozpoczęła się 'era hybrydowa' Formuły 1,2014,2011,2017,2020,Jasiński,Łukasz,,,,,,,,,,,,,,,,,,,2020
500,W któym roku Widzew Łódź po raz ostatni spadł z Ekstraklasy? (stan na 2022 rok),2014,2012,2011,2010,Jasiński,Łukasz,,,,,,,,,,,,,,,,,,,2010
200,W jakim klubie nie grał Arkadiusz Milik?,AC Milan,Ajax Amsterdam,Juventus Turyn,Bayer Leverkusen,Jasiński,Łukasz,,,,,,,,,,,,,,,,,,,Bayer Leverkusen
200,Kto zagrał główną rolę w polskim serialu 'Belfer',Maciej Stuhr,Maciej Zakościelny,Borys Szyc,Kuba Wesołowski,Jasiński,Łukasz,,,,,,,,,,,,,,,,,,,Kuba Wesołowski
500,W którym roku premierę miał polski film 'Vinci' z Robert Więckiewiczem w roli głównej?,2004,2002,2005,2009,Jasiński,Łukasz,,,,,,,,,,,,,,,,,,,2009
500,Który z wymienionych aktorów nie był gwiazdą Wrestlingu?,Jason Statham,John Cena,Hulk Hogan,Dwayne The Rock Johnson,Jasiński,Łukasz,,,,,,,,,,,,,,,,,,,Dwayne The Rock Johnson
1000,Ile razy Jan Błachowicz obronił pas mistrzowski UFC w wadze półciężkiej,1,4,3,5,Jasiński,Łukasz,,,,,,,,,,,,,,,,,,,5
100,Która z wymienionych nazw nie jest marką kawy?,Danone,Jacobs,Lavazza,Tchibo,Jasiński,Łukasz,,,,,,,,,,,,,,,,,,,Tchibo
100,Jaki ustrój polityczny obowiązuje w Stanach Zjednoczonych?,republika federalna,republika unitarna,królewska monarchia federalna,monarchia absolutna,Jachimkowski,Maciej,,,,,,,,,,,,,,,,,,,monarchia absolutna
200,Który język jest językiem urzędowym w Austrii?,niemiecki,angielski,austracki,hiszpański,Jachimkowski,Maciej,,,,,,,,,,,,,,,,,,,hiszpański
500,Ile kilometrów kwadratowych powierzchni lądowej zajmują Niemcy?,ok. 357 tyś.,ok. 524 tyś.,ok.197 tyś.,ok. 457 tyś.,Jachimkowski,Maciej,,,,,,,,,,,,,,,,,,,ok. 457 tyś.
1000,Jak się nazywało miasto 'Łódź' podczas okupacji niemieckiej w czasie II Wojny Światowej?,Litzmannstadt,Ostenburg,Gotenhafen,Lodraufen,Jachimkowski,Maciej,,,,,,,,,,,,,,,,,,,Lodraufen
5000,Z którym z tych państw nie graniczy Rosja?,Uzbekistan,Chiny,Kazachstan,Korea Północna,Jachimkowski,Maciej,,,,,,,,,,,,,,,,,,,Korea Północna
10000,Który z tych regionów znajdował się pod zaborem austriackim po kongresie wiedeńskim?,Galicja,Wielkopolska,Wileńszczyzna,Mazowsze,Jachimkowski,Maciej,,,,,,,,,,,,,,,,,,,Mazowsze
50000,"Po której stronie konflitku było tzw. ""Niezależne Państwo Chorwackie"" w czasie II Wojny Światowej?",po stronie państw Osi,po stronie Aliantów,"po niczyjej, było to państwo neutralne",takie państwo nigdy nie istniało,Jachimkowski,Maciej,,,,,,,,,,,,,,,,,,,takie państwo nigdy nie istniało
100,W którym roku wypada najbliższy rok przestępny?,w 2024,w 2023,w 2025,w 2026,Herman,Andrzej,,,,,,,,,,,,,,,,,,,w 2026
200,Polską tablicę rejestracyjną o numerach TK185633 zobaczymy na samochodzie zarejestrowanym w:,Kielcach,Tarnowie,Toruniu,Katowicach,Herman,Andrzej,,,,,,,,,,,,,,,,,,,Katowicach
500,Dziesiąta w kolejności liczba pierwsza to:,29,19,23,27,Herman,Andrzej,,,,,,,,,,,,,,,,,,,27
1000,Ile litrów zawiera jeden galon?,"3,76 l","4,12 l","2,74 l","1,76 l",Herman,Andrzej,,,,,,,,,,,,,,,,,,,"1,76 l"
5000,Jak ma na imię córka gen. Wojciecha Jaruzelskiego?,Monika,Matylda,Maria,Marzena,Herman,Andrzej,,,,,,,,,,,,,,,,,,,Marzena
10000,Z jakich substancji chemicznych składa się roztwór pirania?,kwas siarkowy i nadtlenek wodoru,kwas azotowy i nadtlenek wodoru,kwas siarkowy i nadtlenek baru,kwas siarkowy i wodorotlenek sodu,Kamiński,Wojciech,,,,,,,,,,,,,,,,,,,kwas siarkowy i wodorotlenek sodu
50000,W jakim pańswie leży wyspa o nazwie Taumatawhakatangihangakoauauotamateapokaiwhenuakitanatahu?,w Nowej Zelandii,w Irlandii,w Chinach,w Australii,Kamiński,Wojciech,,,,,,,,,,,,,,,,,,,w Australii
100,Kto napisał poemat epicki 'Pan Tadeusz'?,Adam Mickiewicz,Henryk Sienkiewicz,Jan Brzechwa,Czesław Miłosz,Kamiński,Wojciech,,,,,,,,,,,,,,,,,,,Czesław Miłosz
200,Który kraj jest ojczyzną k-popu?,Korea Południowa,Korea Północna,Kongo,Kanada,Kamiński,Wojciech,,,,,,,,,,,,,,,,,,,Kanada
500,Który stopień wojskowy w piechocie jest wyższy od porucznika?,pułkownik,sierżant,kapral,chorąży,Kamiński,Wojciech,,,,,,,,,,,,,,,,,,,chorąży
1000,Ile razy na minutę mrugamy?,około 20,mniej niż 5,około 35,ponad 40,Kamiński,Wojciech,,,,,,,,,,,,,,,,,,,ponad 40
5000,Kiedy rozpoczeło się drugie tysiąclecie,1 stycznia 1001 r.,1 stycznia 1000 r.,1 stycznia 2000 r.,1 stycznia 2001 r.,Kamiński,Wojciech,,,,,,,,,,,,,,,,,,,1 stycznia 2001 r.
10000,"Ile to jest 1111 razy 1111, jeśli 1 razy 1 to 1, a 11 razy 11 to 121?",1 234 321,111 111 111,123 434 321,12321,Kamiński,Wojciech,,,,,,,,,,,,,,,,,,,12321
50000,Który instrument stroi muzyk?,kocioł,tamburyn,okarynę,czynele,Kamiński,Wojciech,,,,,,,,,,,,,,,,,,,czynele
100,Czelność i bezczelność to?,synonimy,homonimy,antonimy,wyrazy o przeciwstawnym znaczeniu,Kamiński,Wojciech,,,,,,,,,,,,,,,,,,,wyrazy o przeciwstawnym znaczeniu
200,Które dzieło literackie opowiada o wojnie trojańskiej?,Iliada,Gilgamesz,Władca Pierścieni,Pieśń o Rolandzie,Herman,Andrzej,,,,,,,,,,,,,,,,,,,Pieśń o Rolandzie
500,"Wyraz powstały z przestawienia liter lub sylab innego wyrazu, to:",anagram,hologram,kryptogram,szyfrogram,Herman,Andrzej,,,,,,,,,,,,,,,,,,,szyfrogram
1000,Kto niósł osła w wierszu Jana Brzechwy pt: 'Na wyspach Bergamutach'?,mrówka,gąsienica,biedronka,stonoga,Herman,Andrzej,,,,,,,,,,,,,,,,,,,stonoga
5000,Komu przypisuje się słynny okrzyk 'Eureka!!!' ?,Archimedesowi,Pitagorasowi,Sokratesowi,Heraklitowi,Herman,Andrzej,,,,,,,,,,,,,,,,,,,Heraklitowi
10000,Jakie ptaki przesiadywały na ramionach pogańskiego boga Odyna?,kruki,sowy,orły,sokoły,Herman,Andrzej,,,,,,,,,,,,,,,,,,,sokoły
50000,Paryski Hotel Drouot to miejsce słynnych:,licytacji dzieł sztuki,koncertów fortepianowych,wystaw kwiatów,pokazów fajerwerków,Herman,Andrzej,,,,,,,,,,,,,,,,,,,pokazów fajerwerków
100,Korniszony to?,ogórki,buraki,pomidory,rzodkiewki,Herman,Andrzej,,,,,,,,,,,,,,,,,,,rzodkiewki
200,O jakich figurach mówi twierdzenie Pitagorasa?,trójącie i kwadratach,kole i kuli,sześciokącie i kwadracie,stozku i rombie,Herman,Andrzej,,,,,,,,,,,,,,,,,,,stozku i rombie
500,"Architet Rubik - wynalazca popularnej kostki, jest:",Węgrem,Włochem,Słowakiem,Rumunem,Herman,Andrzej,,,,,,,,,,,,,,,,,,,Rumunem
1000,Rasa psa od wieków używana w ratownictwie górskim to:,bernardyn,buldog angielski,seter,bulterier,Herman,Andrzej,,,,,,,,,,,,,,,,,,,bulterier
5000,Które z podanych pojęć nie ma nic wspólnego z wolnością gospodarczą?,socjalizm,monetaryzm,liberalizm,kapitalizm,Herman,Andrzej,,,,,,,,,,,,,,,,,,,kapitalizm
10000,Na jakiej rzece postawiono zaporę Hoovera?,Kolorado,Missisipi,Ohio,Mackenzie,Herman,Andrzej,,,,,,,,,,,,,,,,,,,Mackenzie
50000,Jak brzmi dawna nazwa Kinszasy - stolicy Demokratycznej Republiki Konga?,Leopoldville,Brazzaville,Stanleyville,Port Elizabeth,Herman,Andrzej,,,,,,,,,,,,,,,,,,,Port Elizabeth
100,Stolica Chin to?,Pekin,Tokio,Ottawa,Seul,Ambroziak,Adrianna,,,,,,,,,,,,,,,,,,,Seul
200,Ile par żeber ma człowiek?,12,10,24,8,Ambroziak,Adrianna,,,,,,,,,,,,,,,,,,,8
500,Który koszykarz miał przydomek 'Black Mamba'?,Kobe Bryant,LeBron James,Derrick Rose,Marcin Gortat,Ambroziak,Adrianna,,,,,,,,,,,,,,,,,,,Marcin Gortat
1000,Odpowiednikiem przysłowia 'A bad workman always blames his tools' jest:,Złej baletnicy przeszkadza rąbek u spódnicy,Czyny mówią głośniej niz słowa,Lepszy wróbel w garści niż gołąb na dachu,Tonący brzytwy się chwyta,Ambroziak,Adrianna,,,,,,,,,,,,,,,,,,,Tonący brzytwy się chwyta
5000,Jak sie nazywa największy smok Daenerys w filmie 'Gra o tron'?,Drogon,Viserion,Aragon,Rhaegala,Ambroziak,Adrianna,,,,,,,,,,,,,,,,,,,Rhaegala
10000,Kto wygłosił historyczne przemówienie 'I have a dream'?,Martin Luther King,John F. Kennedy,Aleksander Hamilton,Thomas Jefferson,Ambroziak,Adrianna,,,,,,,,,,,,,,,,,,,Thomas Jefferson
50000,W którym roku miał miejsce zamach terrorystyczny podczas maratonu w Bostonie w USA?,2013,1999,2015,2018,Ambroziak,Adrianna,,,,,,,,,,,,,,,,,,,2018
100,Którym z pojazdów nie da się jeździć po ulicy?,bobslejem,bryczką,motorowerem,hulajnogą,Herman,Andrzej,,,,,,,,,,,,,,,,,,,hulajnogą
200,"Kolloseum - miejsce starożytnych walk gladiatorów, znajduje się:",w Rzymie,w Neaplou,w Mediolanie,W Wenecji,Herman,Andrzej,,,,,,,,,,,,,,,,,,,W Wenecji
500,Zupa z młodych liści buraków ćwikłowych to:,botwina,zalewajka,żurek,czernina,Herman,Andrzej,,,,,,,,,,,,,,,,,,,czernina
1000,"Jak nazywa się w historii sztuki okres, w którym tworzył Michał Anioł?",renesans,barok,romantyzm,klasycyzm,Herman,Andrzej,,,,,,,,,,,,,,,,,,,klasycyzm
5000,Największy współcześnie żyjący gryzoń to:,kapibara,bóbr,nutria,szczur,Herman,Andrzej,,,,,,,,,,,,,,,,,,,szczur
10000,W którym z wymionionych krajów dolar australijski nie jest jednostką monetarną?,w Nowej Zelandii,W Kiribati,w Australii,w Nauru,Herman,Andrzej,,,,,,,,,,,,,,,,,,,w Nauru
50000,Kamieniem piekielnym nazywany jest:,azotan srebra,ałunit,winian potasu,amazonit,Herman,Andrzej,,,,,,,,,,,,,,,,,,,amazonit
100,Angielskie słowo 'window' oznacza?,okno,wiatr,zwycięstwo,drzwi,Herman,Andrzej,,,,,,,,,,,,,,,,,,,drzwi
200,Herbata wywodzi się z:,Indii,Arabii Saudyjskiej,Francji,Włoch,Herman,Andrzej,,,,,,,,,,,,,,,,,,,Włoch
500,Ile bajtów liczy kilobajt?,1024 B,102 B,999 B,2048 B,Herman,Andrzej,,,,,,,,,,,,,,,,,,,2048 B
1000,Liposukcja to zabieg:,odsysania tkanki tłuszczowej,powiększania piersi,usuwania owłosienia,powiększania ust,Herman,Andrzej,,,,,,,,,,,,,,,,,,,powiększania ust
5000,Jakim językiem programowania jest C#?,obiektowym,funkcyjnym,ezoterycznym,niskiego poziomu,Herman,Andrzej,,,,,,,,,,,,,,,,,,,niskiego poziomu
10000,Jedyny gatunek słodkowodnej ryby z rodziny dorszowatych to:,miętus,certa,sum,szczupak,Herman,Andrzej,,,,,,,,,,,,,,,,,,,szczupak
50000,Który z poetów nie należał do grupy 'Skamandra'?,Tadeusz Gajcy,Julian Tuwim,Jan Lechoń,Antoni Słonimski,Herman,Andrzej,,,,,,,,,,,,,,,,,,,Antoni Słonimski
